"Distance [mm]","Voltage [V]"
5.183464,-1.25268425146524
5.192526,-1.24168242980927
5.201588,-1.23057393434982
5.21065,-1.21935876508688
5.219712,-1.20803692202047
5.228774,-1.19660840515058
5.237836,-1.18507321447721
5.246898,-1.17343135000036
5.25596,-1.16168281172003
5.265022,-1.14982759963622
5.274084,-1.13786571374893
5.283146,-1.12579715405816
5.292208,-1.11362192056391
5.30127,-1.10134001326619
5.310332,-1.08895143216498
5.319394,-1.07645617726029
5.328456,-1.06385424855212
5.337518,-1.05114564604048
5.34658,-1.03833036972535
5.355642,-1.02540841960674
5.364704,-1.01237979568466
5.373766,-0.999244497959092
5.382828,-0.985881599219853
5.39189,-0.972109112347498
5.400952,-0.95832573935318
5.410014,-0.944531480236902
5.419076,-0.930726334998661
5.428138,-0.916910303638458
5.4372,-0.903083386156294
5.446262,-0.889245582552169
5.455324,-0.875396892826081
5.464386,-0.861537316978031
5.473448,-0.84766685500802
5.48251,-0.833785506916046
5.491572,-0.819893272702111
5.500634,-0.805990152366214
5.509696,-0.792076145908355
5.518758,-0.778151253328536
5.52782,-0.764215474626754
5.536882,-0.750268809803009
5.545944,-0.736311258857303
5.555006,-0.722342821789635
5.564068,-0.708363498600006
5.57313,-0.694373289288414
5.582192,-0.680372193854863
5.591254,-0.666360212299348
5.600316,-0.652337344621871
5.609378,-0.638303590822432
5.61844,-0.624258950901031
5.627502,-0.610203424857669
5.636564,-0.596137012692345
5.645626,-0.582059714405059
5.654688,-0.567971529995813
5.66375,-0.553872459464604
5.672812,-0.539762502811432
5.681874,-0.525641660036299
5.690936,-0.511509931139204
5.699998,-0.497367316120147
5.70906,-0.483213814979129
5.718122,-0.46904942771615
5.727184,-0.454874154331208
5.736246,-0.440687994824304
5.745308,-0.426490949195438
5.75437,-0.412283017444611
5.763432,-0.398064199571821
5.772494,-0.38383449557707
5.781556,-0.369593905460357
5.790618,-0.355342429221684
5.79968,-0.341080066861047
5.808742,-0.326404481374741
5.817804,-0.311130659357919
5.826866,-0.295966985785378
5.835928,-0.280913460657119
5.84499,-0.265970083973142
5.854052,-0.251136855733448
5.863114,-0.236413775938034
5.872176,-0.221800844586902
5.881238,-0.207298061680052
5.8903,-0.192905427217483
5.899362,-0.178622941199196
5.908424,-0.164450603625191
5.917486,-0.150388414495467
5.926548,-0.136436373810027
5.93561,-0.122594481568866
5.944672,-0.108862737771988
5.953734,-0.095241142419391
5.962796,-0.0817296955110757
5.971858,-0.0683283970470423
5.98092,-0.0550372470272903
5.989982,-0.0418562454518216
5.999044,-0.028785392320633
6.008106,-0.0158246876337262
6.017168,-0.00297413139110112
6.02623,0.00976627640724242
6.035292,0.0223965357613039
6.044354,0.0349166466710841
6.053416,0.0473266091365823
6.062478,0.0596264231577979
6.07154,0.0718160887347328
6.080602,0.0838956058673861
6.089664,0.0958649745557579
6.098726,0.107724194799848
6.107788,0.119473266599656
6.11685,0.131112189955182
6.125912,0.142640964866426
6.134974,0.154059591333389
6.144036,0.165368069356071
6.153098,0.176566398934471
6.16216,0.187654580068589
6.171222,0.198632612758425
6.180284,0.20950049700398
6.189346,0.220258232805253
6.198408,0.230905820162243
6.20747,0.241443259074953
6.216532,0.251870549543381
6.225594,0.262187691567528
6.234656,0.272141145920134
6.243718,0.281736339699458
6.25278,0.291228621165504
6.261842,0.300617990318277
6.270904,0.309904447157774
6.279966,0.319087991683995
6.289028,0.328168623896941
6.29809,0.337146343796612
6.307152,0.346021151383007
6.316214,0.354793046656126
6.325276,0.363462029615969
6.334338,0.372028100262537
6.3434,0.38049125859583
6.352462,0.388851504615848
6.361524,0.397108838322589
6.370586,0.405263259716056
6.379648,0.413314768796246
6.38871,0.421263365563161
6.397772,0.429109050016801
6.406834,0.436851822157165
6.415896,0.444491681984254
6.424958,0.452028629498067
6.43402,0.459462664698605
6.443082,0.466793787585867
6.452144,0.474021998159854
6.461206,0.481147296420564
6.470268,0.488169682368
6.47933,0.49508915600216
6.488392,0.501905717323045
6.497454,0.508619366330654
6.506516,0.515230103024988
6.515578,0.521737927406046
6.52464,0.528142839473828
6.533702,0.534444839228335
6.542764,0.540643926669567
6.551826,0.546740101797522
6.560888,0.552733364612203
6.56995,0.558623715113608
6.579012,0.564411153301738
6.588074,0.570095679176592
6.597136,0.57567729273817
6.606198,0.581155993986473
6.61526,0.586531782921501
6.624322,0.591804659543253
6.633384,0.596974623851729
6.642446,0.60204167584693
6.651508,0.607005815528856
6.66057,0.611867042897505
6.669632,0.616625357952879
6.678694,0.621280760694979
6.687756,0.625833251123802
6.696818,0.63028282923935
6.70588,0.634629495041623
6.714942,0.63887324853062
6.724004,0.643014089706341
6.733066,0.647052018568786
6.742128,0.650987035117957
6.75119,0.654819139353852
6.760252,0.658548331276471
6.769314,0.662174610885815
6.778376,0.665697978181883
6.787438,0.669118433164676
6.7965,0.672435975834193
6.805562,0.675543961912229
6.814624,0.678453856031214
6.823686,0.681222775548184
6.832748,0.683850720463141
6.84181,0.686337690776084
6.850872,0.688683686487012
6.859934,0.690888707595927
6.868996,0.692952754102828
6.878058,0.695351528938704
6.88712,0.697709699744287
6.896182,0.699976681641551
6.905244,0.702152474630497
6.914306,0.704237078711125
6.923368,0.706230493883435
6.93243,0.708132720147427
6.941492,0.709943757503102
6.950554,0.711663605950458
6.959616,0.713292265489496
6.968678,0.714829736120217
6.97774,0.716276017842619
6.986802,0.717631110656703
6.995864,0.718895014562469
7.004926,0.720067729559918
7.013988,0.721149255649048
7.02305,0.722139592829861
7.032112,0.723038741102355
7.041174,0.723846700466532
7.050236,0.72456347092239
7.059298,0.725189052469931
7.06836,0.725723445109153
7.077422,0.726166648840057
7.086484,0.726518663662644
7.095546,0.726779489576913
7.104608,0.726949126582863
7.11367,0.727027574680496
7.122732,0.72701483386981
7.131794,0.726910904150807
7.140856,0.726715785523486
7.149918,0.726429477987847
7.15898,0.726051981543889
7.168042,0.725583296191614
7.177104,0.725023421931021
7.186166,0.72437235876211
7.195228,0.72363010668488
7.20429,0.722796665699333
7.213352,0.721872035805468
7.222414,0.720856217003285
7.231476,0.719749209292784
7.240538,0.718551012673964
7.2496,0.717261627146827
7.258662,0.715881052711372
7.267724,0.714409289367599
7.276786,0.712846337115508
7.285848,0.711192195955099
7.29491,0.709446865886372
7.303972,0.707610346909327
7.313034,0.705682639023964
7.322096,0.703663742230283
7.331158,0.701553656528284
7.34022,0.699352381917967
7.349282,0.697059918399332
7.358344,0.694676265972379
7.367406,0.692201424637109
7.376468,0.68963539439352
7.38553,0.686978175241613
7.394592,0.684229767181388
7.403654,0.681390170212846
7.412716,0.678459384335985
7.421778,0.675437409550807
7.43084,0.672324245857309
7.439902,0.669119893255494
7.448964,0.665824351745362
7.458026,0.662437621326911
7.467088,0.659742410728465
7.47615,0.657055552237939
7.485212,0.654336721854103
7.494274,0.651585919576956
7.503336,0.648803145406498
7.512398,0.645988399342731
7.52146,0.643141681385652
7.530522,0.640262991535263
7.539584,0.637352329791563
7.548646,0.634409696154553
7.557708,0.631435090624232
7.56677,0.628428513200601
7.575832,0.625389963883659
7.584894,0.622319442673406
7.593956,0.619216949569843
7.603018,0.61608248457297
7.61208,0.612916047682786
7.621142,0.609717638899291
7.630204,0.606487258222486
7.639266,0.603224905652371
7.648328,0.599930581188944
7.65739,0.596604284832208
7.666452,0.59324601658216
7.675514,0.589855776438802
7.684576,0.586433564402134
7.693638,0.582979380472155
7.7027,0.579493224648865
7.711762,0.575975096932265
7.720824,0.572424997322354
7.729886,0.568842925819133
7.738948,0.565228882422601
7.74801,0.56158286713276
7.757072,0.557904879949606
7.766134,0.554194920873143
7.775196,0.550452989903369
7.784258,0.546679087040285
7.79332,0.54287321228389
7.802382,0.539035365634184
7.811444,0.535165547091168
7.820506,0.531263756654842
7.829568,0.527329994325204
7.83863,0.523364260102257
7.847692,0.519366553985998
7.856754,0.51533687597643
7.865816,0.51127522607355
7.874878,0.50718160427736
7.88394,0.50305601058786
7.893002,0.498898445005049
7.902064,0.494708907528927
7.911126,0.490487398159495
7.920188,0.486233916896752
7.92925,0.481948463740699
7.938312,0.477631038691335
7.947374,0.473281641748661
7.956436,0.468900272912676
7.965498,0.464486932183381
7.97456,0.460041619560775
7.983622,0.455564335044858
